engine_id,cycle,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,RUL
1,1,520.2474,639.8145,1579.5546,1417.8217,14.6123,21.4977,551.7913,2383.3526,9024.6531,1.3012,47.547,522.1699,2408.3909,8211.2258,8.3073,0.0301,391.574,2385.8113,99.1743,39.3973,23.4242,251
1,2,519.7014,643.7245,1598.111,1399.1909,14.6176,21.6215,556.7728,2387.7434,9050.2642,1.2946,47.2935,524.7596,2410.7314,8127.0083,8.4425,0.0298,391.352,2382.0332,100.8525,39.1554,23.2523,250
1,3,512.3507,638.6839,1592.7495,1404.4736,14.681,21.388,556.6381,2390.715,9078.7572,1.3048,48.1367,525.2816,2391.6622,8165.4285,8.3826,0.0298,388.2609,2369.7449,100.3559,38.8991,23.5047,249
1,4,522.4519,643.3946,1597.0272,1395.3569,14.6108,21.7875,551.5792,2403.8216,9145.0424,1.3033,47.0831,523.2761,2390.049,8170.2287,8.4649,0.0299,390.6475,2385.9894,99.46,39.1425,23.4349,248
1,5,526.3098,639.1589,1585.2699,1406.1442,14.6914,21.8864,560.2719,2402.8931,9075.3867,1.3065,47.3833,521.5656,2372.0901,8141.1013,8.4782,0.03,390.9251,2383.1947,100.405,39.0661,23.5685,247
1,6,514.8659,639.9183,1588.2233,1393.0061,14.8607,21.4775,558.2526,2383.7523,9037.4352,1.3022,47.1732,520.72,2390.6923,8115.5915,8.3968,0.0302,394.9501,2382.0996,99.9529,39.4046,23.2778,246
1,7,519.6506,650.3345,1610.7044,1388.5158,14.5576,21.6304,551.4933,2384.4812,9059.3563,1.3102,47.5634,523.4522,2400.2513,8181.4253,8.4395,0.0298,394.6025,2393.7631,99.3866,38.9977,23.5883,245
1,8,520.4265,640.8643,1591.3373,1403.0332,14.6705,21.761,555.9714,2409.7819,9113.361,1.3015,47.2073,519.9863,2404.0657,8081.4063,8.4465,0.0302,393.3297,2379.9676,99.5265,39.3375,23.5413,244
1,9,517.8418,647.4779,1601.8352,1418.613,14.6664,21.5901,555.5005,2369.0834,9079.6691,1.2999,47.2525,523.0767,2412.8636,8128.4166,8.3984,0.0302,394.5106,2428.8849,99.2625,39.329,23.5283,243
1,10,518.842,647.126,1594.4824,1389.8774,14.5507,21.7749,559.7538,2390.6976,9100.3982,1.3202,47.6124,523.2823,2398.2271,8192.0663,8.4298,0.0301,388.9817,2392.493,100.0283,39.1365,23.4321,242
